,release_date,movie,distributor,domestic_box_office_to_date,trailer
0,2007-01-05,Code Name: The Cleaner ,New Line,8135024, 
1,2007-01-05,Freedom Writers ,Paramount Pictures,36605602, 
2,2007-01-05,Happily N'Ever After ,Lionsgate,15849032, 
3,2007-01-05,Perfume: The Story of a Murderer ,Paramount Pictures,2223293, 
4,2007-01-05,The Breed ,First Look,, 
5,2007-01-05,Comedy of Power ,Koch Lorber Films,80550, 
6,2007-01-05,Thr3e ,The Bigger Picture,1008849, 
7,2007-01-11,Le Serpent ,,, 
8,2007-01-12,Alpha Dog ,Universal,15309602, 
9,2007-01-12,Arthur and the Invisibles ,Weinstein Co.,15132763, 
10,2007-01-12,Primeval ,Walt Disney,10597734, 
11,2007-01-12,Stomp the Yard ,Sony Pictures,61356221, 
12,2007-01-12,Tears of the Black Tiger ,Magnolia Pictures,75234, 
13,2007-01-12,Guru ,AdLab Films,2096000, 
14,2007-01-12,Verdict on Auschwitz: The Frankfurt Trial 1963-1965 ,First Run Features,11396, 
15,2007-01-12,God Grew Tired of Us: The Story of Lost Boys of Sudan ,Newmarket Films,301447, 
16,2007-01-17,Alone with Her ,IFC Films,10787, 
17,2007-01-19,The Hitcher ,Focus Features,16379582, 
18,2007-01-19,The Dead Girl ,First Look,19875, 
19,2007-01-19,Pan's Labyrinth ,Picturehouse,37634615, 
20,2007-01-19,The Painted Veil ,Warner Independent,8060487, 
21,2007-01-19,China Blue ,Argot Pictures,12185, 
22,2007-01-19,The Italian ,Sony Pictures Classics,552546, 
23,2007-01-19,Mafioso ,Rialto Pictures,398614, 
24,2007-01-21,The Holy Mountain ,Abkco Films,60234, 
25,2007-01-21,Sacco and Vanzetti ,First Run Features,32203, 
26,2007-01-22,Four Sheets to the Wind ,,, 
27,2007-01-25,Salaam-e-Ishq ,Eros Entertainment,1852050, 
28,2007-01-26,Blood and Chocolate ,MGM,3526588, 
29,2007-01-26,Catch and Release ,Sony Pictures,15432542, 
30,2007-01-26,Epic Movie ,20th Century Fox,39739367, 
31,2007-01-26,Smokin' Aces ,Universal,35662731, 
32,2007-01-26,Funny Money ,ThinkFilm,2844, 
33,2007-01-26,G.I. Jesus ,Wildcat Releasing,8593, 
34,2007-01-26,Il Ne Faut Jurer de Rien ,Alliance Films,23442, 
35,2007-01-26,Seraphim Falls ,Samuel Goldwyn Films,418296, 
36,2007-01-31,An Unreasonable Man ,IFC First Take,176647, 
37,2007-01-31,The Pool ,Vitagraph Films,94901, 
38,2007-02-02,Because I Said So ,Universal,42674040, 
39,2007-02-02,The Messengers ,Sony Pictures,35374833, 
40,2007-02-02,Can Mr. Smith Get to Washington Anymore? ,At Risk Films,, 
41,2007-02-02,Constellation ,The Bigger Picture,306533, 
42,2007-02-02,East of Havana ,Sony/BMG,11550, 
43,2007-02-02,In the Pit ,Kino International,10433, 
44,2007-02-02,Factory Girl ,MGM,1661464, 
45,2007-02-02,Fired! ,International Film Circuit,5661, 
46,2007-02-02,Partition ,,, 
47,2007-02-02,Puccini for Beginners ,Strand,89417, 
48,2007-02-02,Raising Flagg ,Cinema Libre,4109, 
49,2007-02-02,The Situation ,Shadow,48896, 
50,2007-02-09,Hannibal Rising ,Weinstein Co.,27669725, 
51,2007-02-09,Norbit ,Paramount Pictures,95673607, 
52,2007-02-09,Black Friday ,AdLab Films,35000, 
53,2007-02-09,Breaking and Entering ,Weinstein Co.,930469, 
54,2007-02-09,Burning Annie ,,, 
55,2007-02-09,The Last Sin Eater ,20th Century Fox,388390, 
56,2007-02-09,The Lives of Others ,Sony Pictures Classics,11284657, 
57,2007-02-09,Notes on Marie Menken ,First Run/Icarus,577, 
58,2007-02-09,Operation Homecoming ,The Documentary Group,6795, 
59,2007-02-13,"Ma Fille, Mon Ange ",Alliance Films,2779545, 
60,2007-02-14,Daddy's Little Girls ,Lionsgate,31366978, 
61,2007-02-14,Music and Lyrics ,Warner Bros.,50572589, 
62,2007-02-14,Bamako ,New Yorker,112351, 
63,2007-02-16,Breach ,Universal,33000880, 
64,2007-02-16,Bridge to Terabithia ,Walt Disney,82234139, 
65,2007-02-16,Ghost Rider ,Sony Pictures,115802596, 
66,2007-02-16,2006 Academy Award Nominated Short Films ,Magnolia Pictures,335090, 
67,2007-02-16,CafÃ© Setareh ,Iranian Film Society,, 
68,2007-02-16,Eklavya - The Royal Guard ,Eros Entertainment,1290212, 
69,2007-02-16,Avenue Montaigne ,ThinkFilm,2044858, 
70,2007-02-16,Days of Glory ,Weinstein Co.,320700, 
71,2007-02-16,Close to Home ,IFC First Take,20931, 
72,2007-02-16,Antibodies ,Slowhand Cinema,, 
73,2007-02-16,Grbavica: The Land of My Dreams ,Strand,43460, 
74,2007-02-23,The Abandoned ,Lionsgate/After Dark,1255524, 
75,2007-02-23,Amazing Grace ,Samuel Goldwyn Films,21214987, 
76,2007-02-23,The Astronaut Farmer ,Warner Bros.,11003643, 
77,2007-02-23,The Number 23 ,New Line,35193167, 
78,2007-02-23,Reno 911!: Miami ,20th Century Fox,20342161, 
79,2007-02-23,The Taste of Tea ,Viz Pictures,, 
80,2007-02-23,Glastonbury ,ThinkFilm,8419, 
81,2007-02-23,Gray Matters ,Yari Film Group Releasing,71561, 
82,2007-02-23,Nos Voisins Dhantsu ,,291962, 
83,2007-02-23,Premium ,Codeblack Entertainment,, 
84,2007-02-23,Starter for Ten ,Picturehouse,216839, 
85,2007-02-28,Into Great Silence ,Zeitgeist,790452, 
86,2007-02-28,Wild Tigers I Have Known ,IFC First Take,9946, 
87,2007-03-02,Black Snake Moan ,Paramount Vantage,9396870, 
88,2007-03-02,Full of It ,New Line,14273, 
89,2007-03-02,Wild Hogs ,Walt Disney,168213584, 
90,2007-03-02,Zodiac ,Paramount Pictures,33080084, 
91,2007-03-02,"Cats of Mirikitan, The ",,38925, 
92,2007-03-02,Vengeance is Mine ,,13565, 
93,2007-03-02,Gangsta Rap ,Wildcat Releasing,, 
94,2007-03-02,Nishabd ,Eros Entertainment,73819, 
95,2007-03-02,Rock Bottom ,,12890, 
96,2007-03-02,Two Weeks ,MGM,46605, 
97,2007-03-07,Exterminating Angels ,IFC First Take,23308, 
98,2007-03-09,300 ,Warner Bros.,210614939, 
99,2007-03-09,The Ultimate Gift ,Film Foundry,3438735, 
100,2007-03-09,Believe in Me ,IFC Films,209654, 
101,2007-03-09,The Host ,Magnolia Pictures,2201923, 
102,2007-03-09,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders ",Magnolia Pictures,58829, 
103,2007-03-09,The Namesake ,Fox Searchlight,13610521, 
104,2007-03-09,Beyond the Gates ,IFC Films,40848, 
105,2007-03-09,Islander ,Slowhand Cinema,59676, 
106,2007-03-09,300 ,Warner Bros.,210614939, 
107,2007-03-14,Blockade ,First Run/Icarus,11750, 
108,2007-03-16,Dead Silence ,Universal,16574590, 
109,2007-03-16,I Think I Love My Wife ,Fox Searchlight,12559771, 
110,2007-03-16,Premonition ,Sony Pictures,47852604, 
111,2007-03-16,Beyond the Gates ,IFC Films,40848, 
112,2007-03-16,Adam's Apples ,Outsider,1305, 
113,2007-03-16,American Cannibal ,Lifesize Entertainment,16567, 
114,2007-03-16,Behind the Mask: The Rise of Leslie Vernon ,Anchor Bay Entertainment,69136, 
115,2007-03-16,Caffeine ,First Look,, 
116,2007-03-16,The Earrings of Madame De... ,Janus Films,137612, 
117,2007-03-16,Hattrick ,UTV Communications,24502, 
118,2007-03-16,My Brother ,Codeblack Entertainment,62707, 
119,2007-03-16,Nomad ,Weinstein Co.,79123, 
120,2007-03-16,Tortilla Heaven ,Wildcat Releasing,105401, 
121,2007-03-16,The Wind That Shakes the Barley ,IFC First Take,1829142, 
122,2007-03-23,The Hills Have Eyes II ,20th Century Fox,20804166, 
123,2007-03-23,The Last Mimzy ,New Line,21471047, 
124,2007-03-23,Pride ,Lionsgate,7057600, 
125,2007-03-23,Reign Over Me ,Sony Pictures,19661987, 
126,2007-03-23,Shooter ,Paramount Pictures,47003582, 
127,2007-03-23,TMNT ,Warner Bros.,54149098, 
128,2007-03-23,Air Guitar Nation ,Shadow,71471, 
129,2007-03-23,Boy Culture ,TLA Releasing,220409, 
130,2007-03-23,The Boys and Girls Guide to Getting Down ,Kosmic Films,, 
131,2007-03-23,Cobra Verde ,518 Media,7402, 
132,2007-03-23,Colour Me Kubrick: A True...ish Story ,Magnolia Pictures,71190, 
133,2007-03-23,First Snow ,Yari Film Group Releasing,214864, 
134,2007-03-23,Journey from the Fall ,Imaginasian,635305, 
135,2007-03-23,The Marsh ,Alliance Films,336, 
136,2007-03-23,Mem-o-re ,Aloha Releasing,1500, 
137,2007-03-23,Namastey London ,Eros Entertainment,1207007, 
138,2007-03-23,Offside ,Sony Pictures Classics,179948, 
139,2007-03-23,The Piccadilly Cowboy ,Ford Films,8000, 
140,2007-03-23,Sharkwater ,Alliance Films,850920, 
141,2007-03-23,The Page Turner ,Tartan Films,208691, 
142,2007-03-23,What Love Is ,,18901, 
143,2007-03-23,The Prisoner or: How I Planned to Kill Tony Blair ,,2500, 
144,2007-03-28,U-Carmen e-Khayelitsha ,Koch Lorber Films,494152, 
145,2007-03-30,Blades of Glory ,Paramount Pictures,118594548, 
146,2007-03-30,The Lookout ,Walt Disney,4600585, 
147,2007-03-30,Meet the Robinsons ,Walt Disney,97822171, 
148,2007-03-30,Nomad ,Weinstein Co.,79123, 
149,2007-03-30,After the Wedding ,IFC Films,1526359, 
150,2007-03-30,The Hawk is Dying ,Strand,7006, 
151,2007-03-30,Killer of Sheep ,Milestone,404508, 
152,2007-03-30,Live Free or Die ,ThinkFilm,13836, 
153,2007-03-30,Operation Homecoming ,The Documentary Group,6795, 
154,2007-03-30,Peaceful Warrior ,Universal,2893666, 
155,2007-03-30,Race You to the Bottom ,Regent Releasing,5468, 
156,2007-03-30,Radiant City ,Alliance Films,78944, 
157,2007-03-30,Summer in Berlin ,D Street Releasing,8340, 
158,2007-03-30,Ten 'Til Noon ,Radio London Films,6404, 
159,2007-04-04,Are We Done Yet? ,Sony Pictures,49662533, 
160,2007-04-04,Firehouse Dog ,20th Century Fox,13932383, 
161,2007-04-05,The Reaping ,Warner Bros.,25126214, 
162,2007-04-06,Grindhouse ,Weinstein/Dimension,25031037, 
163,2007-04-06,"Cop, the Criminal and the Clown, The ",Lonely Seal Releasing,3934, 
164,2007-04-06,The Dance ,Halestorm Entertainment,, 
165,2007-04-06,Daratt ,ArtMattan Productions,3303, 
166,2007-04-06,Fighting Words ,Indican Pictures,35688, 
167,2007-04-06,Greg et Gentillon ,Alliance Films,1913, 
168,2007-04-06,The Hoax ,Walt Disney,7164995, 
169,2007-04-06,Los Muertos ,Facets,3027, 
170,2007-04-06,The Night of the White Pants ,,, 
171,2007-04-06,Whole New Thing ,Picture This Entertainment,11445, 
172,2007-04-06,Black Book ,Sony Pictures Classics,4398532, 
173,2007-04-06,The TV Set ,ThinkFilm,265550, 
174,2007-04-11,Jack Smith and the Destruction of Atlantis ,Film Forum,7000, 
175,2007-04-11,Rock the Bells ,Seventh Art Releasing,1948, 
176,2007-04-13,Aqua Teen Hunger Force Colon Movie Film for Theaters ,First Look,5520368, 
177,2007-04-13,Disturbia ,Paramount Pictures,80818974, 
178,2007-04-13,Pathfinder ,20th Century Fox,10232081, 
179,2007-04-13,Perfect Stranger ,Sony Pictures,23760822, 
180,2007-04-13,Redline ,Chicago Releasing,6881021, 
181,2007-04-13,Slow Burn ,Lionsgate,1237615, 
182,2007-04-13,Private Fears in Public Places ,IFC First Take,134240, 
183,2007-04-13,Dreaming Lhasa ,First Run Features,21504, 
184,2007-04-13,The Glamorous Life of Sachiko Hanai ,Palm Pictures,5383, 
185,2007-04-13,Lonely Hearts ,Alchemy,188565, 
186,2007-04-13,Red Road ,Tartan Films,154892, 
187,2007-04-13,Year of the Dog ,Paramount Vantage,1540141, 
188,2007-04-13,Everything's Gone Green ,First Independent Pictures,19373, 
189,2007-04-18,Syndromes and a Century ,Strand,16340, 
190,2007-04-20,Fracture ,New Line,39004700, 
191,2007-04-20,Hot Fuzz ,Focus Features,23618786, 
192,2007-04-20,In the Land of Women ,Warner Bros.,11052958, 
193,2007-04-20,Vacancy ,Sony Pictures,19063007, 
194,2007-04-20,The Hoax ,Walt Disney,7164995, 
195,2007-04-20,Goodbye Momo ,ArtMattan Productions,8453, 
196,2007-04-20,Alice Neel ,SeeThink,48969, 
197,2007-04-20,Believe ,Kaleidoscope Pictures,2500, 
198,2007-04-20,Stephanie Daley ,Regent Releasing,25751, 
199,2007-04-20,That Beautiful Somewhere ,,, 
200,2007-04-20,The Tripper ,Freestyle Releasing,23200, 
201,2007-04-20,The Valet ,Sony Pictures Classics,2272329, 
202,2007-04-25,Triad Election ,Tartan Films,55758, 
203,2007-04-25,Zoo ,ThinkFilm,69770, 
204,2007-04-26,Americanizing Shelley ,Rocky Mountain Pictures,128024, 
205,2007-04-26,Saigon Eclipse ,,, 
206,2007-04-27,The Condemned ,Lionsgate,7371706, 
207,2007-04-27,The Invisible ,Walt Disney,20568319, 
208,2007-04-27,Kickin It Old Skool ,Yari Film Group Releasing,4500147, 
209,2007-04-27,Next ,Paramount Pictures,18211013, 
210,2007-04-27,Diggers ,Magnolia Pictures,66517, 
211,2007-04-27,The Dog Problem ,ThinkFilm,1344, 
212,2007-04-27,Jindabyne ,Sony Pictures Classics,399879, 
213,2007-04-27,Sing Now or Forever Hold Your Peace ,Strand,21908, 
214,2007-04-27,Snow Cake ,Weinstein Co.,26651, 
215,2007-04-27,Something to Cheer About ,Truly Indie,9777, 
216,2007-04-27,Ta Ra Rum Pum ,Yash Raj Films,872643, 
217,2007-04-27,Wind Chill ,Sony Pictures,31388, 
218,2007-04-27,Poison Friends ,Strand,13665, 
219,2007-04-27,Fakers ,Indican Pictures,49880, 
220,2007-05-02,Waitress ,Fox Searchlight,19097550, 
221,2007-05-04,Lucky You ,Warner Bros.,5755286, 
222,2007-05-04,Spider-Man 3 ,Sony Pictures,336530303, 
223,2007-05-04,Civic Duty ,Freestyle Releasing,95953, 
224,2007-05-04,Disappearances ,Truly Indie,7506, 
225,2007-05-04,The Flying Scotsman ,MGM,171817, 
226,2007-05-04,Gringo Wedding ,Self Distributed,26946, 
227,2007-05-04,L'Iceberg ,First Run Features,19790, 
228,2007-05-04,The Other Conquest ,Hombre de Oro,886410, 
229,2007-05-04,"Paris, je t'aime ",First Look,4857374, 
230,2007-05-04,The Treatment ,New Yorker,82701, 
231,2007-05-04,Away From Her ,Lionsgate,4548331, 
232,2007-05-04,Spider-Man 3 ,Sony Pictures,336530303, 
233,2007-05-06,Eloise in Hollywood ,The Bigger Picture,, 
234,2007-05-09,Allegro ,IFC Films,7346, 
235,2007-05-09,Brand Upon the Brain! ,Vitagraph Films,227064, 
236,2007-05-09,Looking for an Icon ,First Run/Icarus,2393, 
237,2007-05-09,Day Night Day Night ,IFC Films,31777, 
238,2007-05-09,I Don't Want to Sleep Alone ,Strand,19136, 
239,2007-05-11,28 Weeks Later ,20th Century Fox,28638916, 
240,2007-05-11,Delta Farce ,Lionsgate,8130530, 
241,2007-05-11,The Ex ,MGM,3091922, 
242,2007-05-11,Georgia Rule ,Universal,18882880, 
243,2007-05-11,Away From Her ,Lionsgate,4548331, 
244,2007-05-11,Blind Dating ,Samuel Goldwyn Films,87416, 
245,2007-05-11,Brooklyn Rules ,Lionsgate,458232, 
246,2007-05-11,Chalk ,Arts Alliance America,302845, 
247,2007-05-11,Duck ,Right Brained Releasing,, 
248,2007-05-11,The Hip Hop Project ,ThinkFilm,46208, 
249,2007-05-11,Home of the Brave ,MGM,43753, 
250,2007-05-11,Life in a... Metro ,UTV Communications,150212, 
251,2007-05-11,Provoked: A True Story ,Eros Entertainment,918931, 
252,2007-05-11,The Salon ,Freestyle Releasing,139084, 
253,2007-05-11,Casting About ,Kino International,6922, 
254,2007-05-11,ShowBusiness: The Road to Broadway ,Regent Releasing,151792, 
255,2007-05-16,The Dead One ,,, 
256,2007-05-16,Once ,Fox Searchlight,9445857, 
257,2007-05-17,Shrek the Third ,Paramount Pictures,322719944, 
258,2007-05-18,Fay Grim ,Magnolia Pictures,126714, 
259,2007-05-18,Flanders ,International Film Circuit,21056, 
260,2007-05-18,The Last Time ,Sony Pictures,, 
261,2007-05-18,Memories of Tomorrow ,Eleven Arts,140200, 
262,2007-05-18,Private Property ,New Yorker,62897, 
263,2007-05-18,The Wendell Baker Story ,ThinkFilm,127188, 
264,2007-05-18,Even Money ,,64458, 
265,2007-05-18,Hollywood Dreams ,Rainbow Releasing,171255, 
266,2007-05-18,Severance ,Magnolia Pictures,137221, 
267,2007-05-23,The Boss of It All ,IFC Films,51300, 
268,2007-05-23,I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal ,Walking Shadows,105930, 
269,2007-05-23,9 Star Hotel ,Koch Lorber Films,2900, 
270,2007-05-24,Pirates of the Caribbean: At World's End ,Walt Disney,309420425, 
271,2007-05-25,Bug ,Lionsgate,7006708, 
272,2007-05-25,Amu ,Emerging Pictures,22121, 
273,2007-05-25,Less Sugar ,Eros Entertainment,678792, 
274,2007-05-25,Paprika ,Sony Pictures Classics,881302, 
275,2007-05-25,Shootout at Lokhandwala ,Rainbow Releasing,289232, 
276,2007-05-25,Steel City ,Truly Indie,10227, 
277,2007-05-25,Ten Canoes ,Palm Pictures,277991, 
278,2007-05-25,Angel-A ,Sony Pictures Classics,202200, 
279,2007-05-25,The Golden Door ,Miramax,1063647, 
280,2007-06-01,Gracie ,Picturehouse,2956339, 
281,2007-06-01,Knocked Up ,Universal,148761765, 
282,2007-06-01,Mr. Brooks ,MGM,28476219, 
283,2007-06-01,Rise: Blood Hunter ,Samuel Goldwyn Films,114306, 
284,2007-06-01,And Then Came Love ,Fox Meadow,8158, 
285,2007-06-01,Day Watch ,Fox Searchlight,459095, 
286,2007-06-01,Fool N Final ,Shemaroo Entertainment,, 
287,2007-06-01,Four Lane Highway ,Sky Island,1393, 
288,2007-06-01,I'm Reed Fish ,Screen Media Films,3567, 
289,2007-06-01,The Last Hangman ,IFC Films,21766, 
290,2007-06-01,Mala Noche ,Janus Films,11352, 
291,2007-06-01,What the Snow Brings ,Eleven Arts,4256, 
292,2007-06-01,Crazy Love ,Magnolia Pictures,301027, 
293,2007-06-06,12:08 East of Bucharest ,Tartan Films,89550, 
294,2007-06-06,Hwang Jin-yi ,,, 
295,2007-06-08,Hostel: Part II ,Lionsgate,17544812, 
296,2007-06-08,Ocean's Thirteen ,Warner Bros.,117144465, 
297,2007-06-08,Surf's Up ,Sony Pictures,58867694, 
298,2007-06-08,Belle Toujours ,New Yorker,10643, 
299,2007-06-08,La Vie en Rose ,Picturehouse,10299782, 
300,2007-06-08,My Bollywood Bride ,Kosmic Films,, 
301,2007-06-08,Steel Toes ,Monterey Media,, 
302,2007-06-08,You're Gonna Miss Me ,Palm Pictures,2324, 
303,2007-06-13,Lights in the Dusk ,Strand,14018, 
304,2007-06-14,Cthulhu ,Regent Releasing,15513, 
305,2007-06-15,DOA: Dead or Alive ,Weinstein/Dimension,480314, 
306,2007-06-15,Fantastic Four: Rise of the Silver Surfer ,20th Century Fox,131921738, 
307,2007-06-15,Fido ,Lionsgate,298110, 
308,2007-06-15,Nancy Drew ,Warner Bros.,25584685, 
309,2007-06-15,Beyond Hatred ,First Run Features,949, 
310,2007-06-15,Blood and Tears ,ThinkFilm,4364, 
311,2007-06-15,Czech Dream ,Schwarzsmith & Taskovski,19662, 
312,2007-06-15,Eagle vs Shark ,Miramax,221846, 
313,2007-06-15,Jhoom Barabar Jhoom ,Yash Raj Films,695156, 
314,2007-06-15,Macbeth ,Truly Indie,9613, 
315,2007-06-15,Pierrot le fou ,Janus Films,70807, 
316,2007-06-15,Strike ,Laemmle/Zeller Film,8872, 
317,2007-06-15,The Trials of Darryl Hunt ,ThinkFilm,1217, 
318,2007-06-15,Unborn in the USA: Inside the War on Abortion ,First Run Features,1476, 
319,2007-06-15,When the Road Bends: Tales of a Gypsy Caravan ,Shadow,442936, 
320,2007-06-20,White Palms ,Strand,, 
321,2007-06-20,Manufactured Landscapes ,Zeitgeist,395623, 
322,2007-06-22,1408 ,MGM,71985628, 
323,2007-06-22,Evan Almighty ,Universal,100289690, 
324,2007-06-22,A Mighty Heart ,Paramount Vantage,9176787, 
325,2007-06-22,You Kill Me ,IFC Films,2426851, 
326,2007-06-22,Black Sheep ,IFC Films,82987, 
327,2007-06-22,Colma: The Musical ,IDP/Goldwyn/Roadside,41004, 
328,2007-06-22,Klimt ,Outsider,86051, 
329,2007-06-22,Lady Chatterley ,Kino International,687414, 
330,2007-06-22,Yellow ,Sony Pictures,, 
331,2007-06-22,Broken English ,Magnolia Pictures,956919, 
332,2007-06-22,Sicko ,Lionsgate,24538513, 
333,2007-06-25,Kabluey ,Regent Releasing,83506, 
334,2007-06-27,Live Free or Die Hard ,20th Century Fox,134529403, 
335,2007-06-27,In Between Days ,Kino International,23465, 
336,2007-06-27,Over the GW ,Seventh Art Releasing,, 
337,2007-06-27,Ghosts of CitÃ© Soleil ,ThinkFilm,48752, 
338,2007-06-29,Evening ,Focus Features,12406646, 
339,2007-06-29,Ratatouille ,Walt Disney,206445654, 
340,2007-06-29,Sicko ,Lionsgate,24538513, 
341,2007-06-29,Apne ,Shemaroo Entertainment,, 
342,2007-06-29,One to Another ,Strand,18435, 
343,2007-06-29,Le Doulos ,Rialto Pictures,82772, 
344,2007-06-29,Dr. Bronner's Magic Soapbox ,Balcony Releasing,21579, 
345,2007-06-29,Falling ,Kino International,509, 
346,2007-06-29,Vitus ,Sony Pictures Classics,187480, 
347,2007-06-30,Nitro ,Alliance Films,3768878, 
348,2007-07-02,Transformers ,Paramount Pictures,319246193, 
349,2007-07-03,License to Wed ,Warner Bros.,43799818, 
350,2007-07-04,Flying: Confessions of a Free Woman ,Artistic License,16856, 
351,2007-07-04,Introducing the Dwights ,Warner Independent,378921, 
352,2007-07-04,Rescue Dawn ,MGM,5490423, 
353,2007-07-06,Joshua ,Fox Searchlight,482355, 
354,2007-07-06,Dynamite Warrior ,Magnolia Pictures,5229, 
355,2007-07-06,The Method ,Palm Pictures,7017, 
356,2007-07-06,City Lights ,United Artists,18165, 
357,2007-07-07,Rockaway ,Off-Hollywood Distribution,, 
358,2007-07-11,Harry Potter and the Order of the Phoenix ,Warner Bros.,292137260, 
359,2007-07-11,Drama/Mex ,IFC First Take,7699, 
360,2007-07-11,Harry Potter and the Order of the Phoenix ,Warner Bros.,292137260, 
361,2007-07-13,Captivity ,Lionsgate,2686800, 
362,2007-07-13,Hula Girls ,Viz Pictures,, 
363,2007-07-13,El Inmigrante ,Indican Pictures,15100, 
364,2007-07-13,Interview ,Sony Pictures Classics,416417, 
365,2007-07-13,My Best Friend ,IFC Films,1422461, 
366,2007-07-13,Time ,Lifesize Entertainment,14743, 
367,2007-07-13,Shortcut to Happiness ,Yari Film Group Releasing,, 
368,2007-07-13,Talk to Me ,Focus Features,4526759, 
369,2007-07-13,Tekkon Kinkreet ,,6000, 
370,2007-07-18,Live-In Maid ,Film Sales Company,200433, 
371,2007-07-18,Summercamp! ,Argot Pictures,2600, 
372,2007-07-20,Hairspray ,New Line,118871849, 
373,2007-07-20,I Now Pronounce You Chuck and Larry ,Universal,119725280, 
374,2007-07-20,Cashback ,Magnolia Pictures,25343, 
375,2007-07-20,David & Layla ,Newroz Films,120750, 
376,2007-07-20,Falling for Grace ,Slowhand Cinema,30276, 
377,2007-07-20,Goya's Ghosts ,Samuel Goldwyn Films,1000626, 
378,2007-07-20,In Search of Mozart ,Direct Cinema Ltd,225000, 
379,2007-07-20,The Iron Man ,Iron Man Distr,8025, 
380,2007-07-20,Ma Tante Aline ,Alliance Films,1027636, 
381,2007-07-20,Partner ,Eros Entertainment,1062840, 
382,2007-07-20,Sunshine ,Fox Searchlight,3688560, 
383,2007-07-20,Your Mommy Kills Animals ,Vagrant Films,, 
384,2007-07-25,Arctic Tale ,Paramount Vantage,833532, 
385,2007-07-25,The Devil Came on Horseback ,IFC Films,132782, 
386,2007-07-25,The Sugar Curtain ,First Run/Icarus,929, 
387,2007-07-25,This is England ,IFC Films,327919, 
388,2007-07-27,I Know Who Killed Me ,Sony Pictures,7233485, 
389,2007-07-27,No Reservations ,Warner Bros.,43107979, 
390,2007-07-27,The Simpsons Movie ,20th Century Fox,183135014, 
391,2007-07-27,Who's Your Caddy? ,MGM,5694308, 
392,2007-07-27,Rescue Dawn ,MGM,5490423, 
393,2007-07-27,Sunshine ,Fox Searchlight,3688560, 
394,2007-07-27,The Camden 28 ,First Run Features,6983, 
395,2007-07-27,Laura Smiles ,Emerging Pictures,2065, 
396,2007-07-27,MoliÃ¨re ,Sony Pictures Classics,635733, 
397,2007-07-27,No End In Sight ,Magnolia Pictures,1433319, 
398,2007-07-27,Transformation: The Life & Legacy of Werner Erhard ,Reel Diva Consultants,49919, 
399,2007-08-01,El Cantante ,Picturehouse,7556004, 
400,2007-08-01,Summer '04 ,Cinema Guild,20475, 
401,2007-08-03,The Bourne Ultimatum ,Universal,227471070, 
402,2007-08-03,Bratz ,Lionsgate,10010209, 
403,2007-08-03,Hot Rod ,Paramount Pictures,13938332, 
404,2007-08-03,Underdog ,Walt Disney,43760605, 
405,2007-08-03,Introducing the Dwights ,Warner Independent,378921, 
406,2007-08-03,Talk to Me ,Focus Features,4526759, 
407,2007-08-03,Becoming Jane ,Miramax,18663911, 
408,2007-08-03,Care Bears: Oopsy Does It! ,The Bigger Picture,, 
409,2007-08-03,Cash ,AdLab Films,, 
410,2007-08-03,"Gandhi, My Father ",Eros Entertainment,240425, 
411,2007-08-03,The Ten ,ThinkFilm,769726, 
412,2007-08-03,The Willow Tree ,New Yorker,25525, 
413,2007-08-03,Blame It On Fidel ,Koch Lorber Films,168065, 
414,2007-08-03,If I Didn't Care ,Artistic License,8527, 
415,2007-08-03,Ils ,Slowhand Cinema,26062, 
416,2007-08-05,For the Bible Tells Me So ,First Run Features,312751, 
417,2007-08-08,Daddy Day Camp ,Sony Pictures,13235267, 
418,2007-08-08,Dans Paris ,IFC First Take,63049, 
419,2007-08-10,Rush Hour 3 ,New Line,140125968, 
420,2007-08-10,Skinwalkers ,Lionsgate/After Dark,1018965, 
421,2007-08-10,Stardust ,Paramount Pictures,38634938, 
422,2007-08-10,Becoming Jane ,Miramax,18663911, 
423,2007-08-10,Chak De India ,Yash Raj Films,1113541, 
424,2007-08-10,Cut Sleeve Boys ,Regent Releasing,13875, 
425,2007-08-10,The List ,,98438, 
426,2007-08-10,Crossing the Line ,Kino International,9258, 
427,2007-08-10,Descent ,City Lights Pictures,15233, 
428,2007-08-10,2 Days in Paris ,Samuel Goldwyn Films,4433994, 
429,2007-08-10,Rocket Science ,Picturehouse,712391, 
430,2007-08-10,A Stone's Throw ,ThinkFilm,, 
431,2007-08-15,Delirious ,Peace Arch Releasing,86460, 
432,2007-08-15,Love for Sale: Suely in the Sky ,Strand,12007, 
433,2007-08-17,Death at a Funeral ,MGM,8580428, 
434,2007-08-17,The Invasion ,Warner Bros.,15074191, 
435,2007-08-17,The Last Legion ,Weinstein/Dimension,5932060, 
436,2007-08-17,Superbad ,Sony Pictures,121463226, 
437,2007-08-17,Arctic Tale ,Paramount Vantage,833532, 
438,2007-08-17,11th Hour ,Warner Independent,703464, 
439,2007-08-17,American Fusion ,Wildcat Releasing,16000, 
440,2007-08-17,Buddha Mar Gaya ,Eros Entertainment,13871, 
441,2007-08-17,Marigold ,AdLab Films,, 
442,2007-08-17,7 Days ,Xenon Pictures,16791, 
443,2007-08-17,The King of Kong ,Picturehouse,674925, 
444,2007-08-17,Send a Bullet ,City Lights Pictures,122905, 
445,2007-08-17,Splinter ,Magic Lamp,10497, 
